Date,Calls_Presented
2003-02,78530
2003-03,309776
2003-04,270314
2003-05,235470
2003-06,406369
2003-07,376339
2003-08,575907
2003-09,542250
2003-10,490925
2003-11,543046
2003-12,687586
2004-01,962799
2004-02,743627
2004-03,765606
2004-04,765899
2004-05,744102
2004-06,804098
2004-07,806074
2004-08,775527
2004-09,1003817
2004-10,1189522
2004-11,1024765
2004-12,1055444
2005-01,1292654
2005-02,1118160
2005-03,1196668
2005-04,904409
2005-05,1064132
2005-06,1072060
2005-07,967790
2005-08,971801
2005-09,944629
2005-10,1287522
2005-11,1262079
2005-12,1969526
2006-01,1219209
2006-02,1248439
2006-03,1079503
2006-04,1063376
2006-05,1135416
2006-06,1096130
2006-07,1129471
2006-08,1071116
2006-09,1009423
2006-10,1233238
2006-11,1210954
2006-12,972491
2007-01,1170008
2007-02,1611888
2007-03,1307333
2007-04,1337764
2007-05,1191776
2007-06,1069216
2007-07,1132206
2007-08,1169569
2007-09,1210812
2007-10,1271097
2007-11,1399202
2007-12,1443744
2008-01,1225931
2008-02,1410182
2008-03,1155545
2008-04,1197815
2008-05,1219067
2008-06,1313627
2008-07,1254005
2008-08,1138045
2008-09,1228707
2008-10,1751669
2008-11,1465016
2008-12,1739896
2009-01,2085733
2009-02,1491775
2009-03,1811209
2009-04,1518269
2009-05,1473048
2009-06,1405733
2009-07,1474580
2009-08,1246284
2009-09,1473385
2009-10,1359208
2009-11,1470741
2009-12,1897471
2010-01,1448598
2010-02,2401803
2010-03,1591234
2010-04,1441649
2010-05,1471524
2010-06,1366068
2010-07,1404012
2010-08,1190347
2010-09,1765700
2010-10,1431289
2010-11,1943647
2010-12,2237701
2011-01,3975722
2011-02,2053729
2011-03,1362188
2011-04,1553199
2011-05,1306962
2011-06,1505450
2011-07,1305861
2011-08,2117266
2011-09,1664290
2011-10,1841378
2011-11,1894959
2011-12,1659079
2012-01,1736058
2012-02,1378795
2012-03,1257413
2012-04,1510667
2012-05,1368643
2012-06,1223050
2012-07,1312457
2012-08,1277706
2012-09,1478843
2012-10,2301595
2012-11,3180720
2012-12,1496907
2013-01,1358642
2013-02,1751875
2013-03,1697352
2013-04,1254073
2013-05,1624358
2013-06,1181569
2013-07,1283283
2013-08,1275917
2013-09,1707335
2013-10,1614138
2013-11,1689941
2013-12,2018348
2014-01,3290884
2014-02,2799870
2014-03,1467310
2014-04,1532810
2014-05,1297140
2014-06,1369260
2014-07,1400445
2014-08,1187892
2014-09,1310699
2014-10,1937369
2014-11,1643810
2014-12,1632642
2015-01,2412937
2015-02,3236366
2015-03,2155559
2015-04,1612031
2015-05,1334771
2015-06,1214066
2015-07,1538296
2015-08,1063692
